Zip Code,Less than $100,$100-$200,$200-$300,$300-$400,$400-$500,$500-$600,$600-$700,$700-$800,$800-$900,$900-$1000,More than $1000,Total number of delinquent residential accounts,PWSID,Size,row sum
91746,67.0,44.0,39.0,23.0,17.0,17.0,6.0,4.0,2.0,4.0,4.0,227.0,CA1910039,Large,227.0
91754,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,CA1910039,Large,2.0
91755,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,CA1910039,Large,4.0
91770,16.0,7.0,10.0,5.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,44.0,CA1910039,Large,44.0
91790,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,CA1910039,Large,7.0
91016,254.0,205.0,84.0,46.0,41.0,33.0,21.0,20.0,15.0,13.0,24.0,756.0,CA1910090,Large,756.0
91744,87.0,53.0,15.0,13.0,7.0,8.0,3.0,3.0,1.0,0.0,0.0,190.0,CA1910194,Large,190.0
91745,15.0,12.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,40.0,CA1910194,Large,40.0
91748,65.0,64.0,38.0,26.0,6.0,10.0,4.0,6.0,3.0,1.0,3.0,226.0,CA1910194,Large,226.0
91792,29.0,8.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,CA1910194,Large,49.0
90650,349.0,643.0,423.0,212.0,112.0,82.0,56.0,45.0,30.0,22.0,47.0,2021.0,CA1910211,Large,2021.0
90670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA1910211,Large,0.0
90706,112.0,206.0,124.0,65.0,41.0,24.0,27.0,19.0,10.0,8.0,23.0,659.0,CA1910211,Large,659.0
90707,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CA1910211,Large,1.0
91350,39.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,CA1910240,Large,57.0
91354,476.0,112.0,44.0,33.0,7.0,10.0,7.0,2.0,0.0,4.0,1.0,696.0,CA1910240,Large,696.0
91355,350.0,85.0,41.0,24.0,16.0,5.0,10.0,6.0,1.0,1.0,3.0,542.0,CA1910240,Large,542.0
91381,135.0,58.0,25.0,6.0,3.0,6.0,10.0,2.0,2.0,1.0,2.0,250.0,CA1910240,Large,250.0
91384,88.0,40.0,13.0,6.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,158.0,CA1910240,Large,158.0
91390,156.0,35.0,11.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,211.0,CA1910240,Large,211.0
92324,11.0,8.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,CA3610039,Large,26.0
92354,18.0,7.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,CA3610039,Large,36.0
92376,140.0,91.0,26.0,19.0,6.0,4.0,4.0,6.0,5.0,4.0,3.0,308.0,CA3610039,Large,308.0
92401,19.0,8.0,6.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,40.0,CA3610039,Large,40.0
92404,534.0,414.0,160.0,91.0,50.0,33.0,28.0,24.0,16.0,11.0,31.0,1392.0,CA3610039,Large,1392.0
92405,703.0,553.0,193.0,87.0,60.0,44.0,27.0,29.0,12.0,10.0,18.0,1736.0,CA3610039,Large,1736.0
92407,830.0,604.0,233.0,143.0,75.0,47.0,37.0,26.0,18.0,13.0,23.0,2049.0,CA3610039,Large,2049.0
92408,171.0,88.0,39.0,16.0,18.0,7.0,7.0,3.0,1.0,3.0,7.0,360.0,CA3610039,Large,360.0
92410,498.0,360.0,157.0,55.0,45.0,35.0,27.0,16.0,12.0,6.0,13.0,1224.0,CA3610039,Large,1224.0
92411,607.0,395.0,156.0,70.0,47.0,37.0,32.0,35.0,11.0,9.0,12.0,1411.0,CA3610039,Large,1411.0
92260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA3010092,Large,0.0
92602,169.0,75.0,44.0,30.0,33.0,18.0,13.0,9.0,6.0,4.0,14.0,415.0,CA3010092,Large,415.0
92603,268.0,126.0,58.0,40.0,25.0,16.0,15.0,9.0,7.0,3.0,18.0,585.0,CA3010092,Large,585.0
92604,212.0,70.0,39.0,22.0,27.0,12.0,8.0,4.0,6.0,5.0,1.0,406.0,CA3010092,Large,406.0
92606,158.0,69.0,28.0,25.0,26.0,16.0,6.0,1.0,3.0,1.0,4.0,337.0,CA3010092,Large,337.0
92610,134.0,62.0,30.0,16.0,16.0,16.0,5.0,3.0,1.0,1.0,2.0,286.0,CA3010092,Large,286.0
92612,330.0,95.0,45.0,21.0,21.0,15.0,6.0,3.0,0.0,2.0,6.0,544.0,CA3010092,Large,544.0
92614,399.0,184.0,72.0,56.0,46.0,23.0,19.0,4.0,5.0,3.0,9.0,820.0,CA3010092,Large,820.0
92617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CA3010092,Large,1.0
92618,345.0,177.0,100.0,70.0,58.0,44.0,26.0,14.0,10.0,3.0,12.0,859.0,CA3010092,Large,859.0
92620,488.0,241.0,157.0,101.0,58.0,47.0,37.0,10.0,7.0,6.0,17.0,1169.0,CA3010092,Large,1169.0
92626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA3010092,Large,0.0
92627,201.0,41.0,24.0,14.0,5.0,4.0,1.0,2.0,1.0,0.0,1.0,294.0,CA3010092,Large,294.0
92628,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CA3010092,Large,1.0
92630,508.0,208.0,113.0,69.0,52.0,44.0,24.0,21.0,10.0,9.0,20.0,1078.0,CA3010092,Large,1078.0
92657,154.0,55.0,42.0,21.0,22.0,9.0,11.0,13.0,4.0,5.0,27.0,363.0,CA3010092,Large,363.0
92660,80.0,23.0,14.0,2.0,5.0,6.0,4.0,1.0,2.0,0.0,3.0,140.0,CA3010092,Large,140.0
92676,50.0,18.0,7.0,5.0,4.0,2.0,1.0,1.0,0.0,1.0,3.0,92.0,CA3010092,Large,92.0
92679,76.0,35.0,21.0,13.0,11.0,4.0,3.0,1.0,1.0,0.0,1.0,166.0,CA3010092,Large,166.0
92780,25.0,9.0,9.0,5.0,6.0,2.0,1.0,0.0,0.0,0.0,1.0,58.0,CA3010092,Large,58.0
92782,251.0,135.0,72.0,44.0,38.0,20.0,10.0,3.0,8.0,0.0,11.0,592.0,CA3010092,Large,592.0
92869,10.0,13.0,5.0,4.0,1.0,0.0,0.0,4.0,1.0,4.0,4.0,46.0,CA3010092,Large,46.0
96161,372.0,145.0,68.0,35.0,29.0,21.0,17.0,16.0,0.0,2.0,5.0,710.0,CA2910003,Large,710.0
92701,42.0,126.0,61.0,32.0,21.0,20.0,11.0,10.0,8.0,9.0,39.0,379.0,CA3010038,Large,379.0
92702,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,CA3010038,Large,3.0
92703,109.0,304.0,133.0,70.0,35.0,27.0,29.0,24.0,19.0,14.0,54.0,818.0,CA3010038,Large,818.0
92704,92.0,343.0,141.0,73.0,51.0,45.0,29.0,17.0,23.0,12.0,60.0,886.0,CA3010038,Large,886.0
92705,4.0,26.0,18.0,3.0,4.0,0.0,1.0,4.0,2.0,2.0,7.0,71.0,CA3010038,Large,71.0
92706,37.0,125.0,79.0,39.0,35.0,27.0,16.0,13.0,13.0,8.0,41.0,433.0,CA3010038,Large,433.0
92707,91.0,244.0,99.0,46.0,37.0,22.0,18.0,28.0,11.0,13.0,42.0,651.0,CA3010038,Large,651.0
92708,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,CA3010038,Large,5.0
92843,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CA3010038,Large,1.0
92831,3.0,12.0,24.0,19.0,18.0,13.0,12.0,7.0,7.0,9.0,27.0,151.0,CA3010010,Large,151.0
92832,4.0,18.0,18.0,30.0,25.0,13.0,15.0,9.0,3.0,5.0,17.0,157.0,CA3010010,Large,157.0
92833,1.0,28.0,31.0,50.0,53.0,25.0,21.0,24.0,17.0,14.0,53.0,317.0,CA3010010,Large,317.0
92835,0.0,9.0,58.0,28.0,23.0,18.0,13.0,13.0,8.0,10.0,43.0,223.0,CA3010010,Large,223.0
94044,161.0,170.0,60.0,38.0,18.0,12.0,14.0,8.0,4.0,8.0,11.0,504.0,CA4110025,Large,504.0
94110,168.0,146.0,77.0,60.0,45.0,31.0,21.0,20.0,14.0,18.0,153.0,753.0,CA3810011,Large,753.0
94112,333.0,328.0,219.0,124.0,73.0,64.0,28.0,48.0,39.0,21.0,244.0,1521.0,CA3810011,Large,1521.0
94124,196.0,206.0,107.0,84.0,50.0,52.0,26.0,31.0,23.0,21.0,197.0,993.0,CA3810011,Large,993.0
94123,51.0,38.0,22.0,19.0,13.0,7.0,3.0,6.0,5.0,7.0,47.0,218.0,CA3810011,Large,218.0
94134,208.0,218.0,118.0,63.0,42.0,23.0,17.0,16.0,11.0,19.0,152.0,887.0,CA3810011,Large,887.0
94116,174.0,168.0,73.0,39.0,29.0,23.0,21.0,15.0,17.0,13.0,93.0,665.0,CA3810011,Large,665.0
94158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CA3810011,Large,1.0
94132,69.0,80.0,47.0,29.0,22.0,20.0,9.0,9.0,11.0,7.0,52.0,355.0,CA3810011,Large,355.0
94114,66.0,69.0,40.0,19.0,16.0,11.0,8.0,6.0,3.0,4.0,59.0,301.0,CA3810011,Large,301.0
94102,13.0,15.0,10.0,2.0,1.0,4.0,2.0,1.0,5.0,0.0,35.0,88.0,CA3810011,Large,88.0
94109,43.0,31.0,22.0,13.0,15.0,9.0,6.0,4.0,6.0,7.0,74.0,230.0,CA3810011,Large,230.0
94118,74.0,86.0,47.0,30.0,15.0,18.0,8.0,14.0,8.0,7.0,71.0,378.0,CA3810011,Large,378.0
99999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CA3810011,Large,0.0
94108,4.0,9.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,14.0,34.0,CA3810011,Large,34.0
94122,172.0,164.0,80.0,53.0,31.0,25.0,18.0,13.0,11.0,9.0,93.0,669.0,CA3810011,Large,669.0
94121,127.0,94.0,63.0,27.0,24.0,16.0,22.0,14.0,11.0,13.0,59.0,470.0,CA3810011,Large,470.0
94115,57.0,43.0,38.0,13.0,14.0,8.0,10.0,6.0,4.0,7.0,43.0,243.0,CA3810011,Large,243.0
94107,61.0,51.0,37.0,16.0,18.0,11.0,8.0,6.0,2.0,1.0,40.0,251.0,CA3810011,Large,251.0
94133,67.0,31.0,23.0,22.0,9.0,11.0,6.0,4.0,3.0,2.0,35.0,213.0,CA3810011,Large,213.0
94127,87.0,90.0,57.0,21.0,22.0,19.0,8.0,3.0,6.0,4.0,47.0,364.0,CA3810011,Large,364.0
94103,16.0,7.0,10.0,8.0,3.0,2.0,7.0,0.0,1.0,2.0,28.0,84.0,CA3810011,Large,84.0
94117,60.0,59.0,44.0,15.0,14.0,13.0,13.0,6.0,6.0,7.0,65.0,302.0,CA3810011,Large,302.0
