GEO_ID,NAME,Median_12month_HH_Income,B19013_001MarginOfError
1400000US06107002006,"Census Tract 20.06, Tulare County, California",90128,8885
1400000US06037531701,"Census Tract 5317.01, Los Angeles County, California",42888,5503
1400000US06037238000,"Census Tract 2380, Los Angeles County, California",63970,9947
1400000US06101050403,"Census Tract 504.03, Sutter County, California",86838,26520
1400000US06047001601,"Census Tract 16.01, Merced County, California",20929,3131
1400000US06111004305,"Census Tract 43.05, Ventura County, California",51288,7468
1400000US06037481714,"Census Tract 4817.14, Los Angeles County, California",41512,4153
1400000US06071004510,"Census Tract 45.10, San Bernardino County, California",43352,17417
1400000US06113010310,"Census Tract 103.10, Yolo County, California",102183,7305
1400000US06055201500,"Census Tract 2015, Napa County, California",106667,26267
1400000US06081605100,"Census Tract 6051, San Mateo County, California",110643,15038
1400000US06005000402,"Census Tract 4.02, Amador County, California",61154,17028
1400000US06037275602,"Census Tract 2756.02, Los Angeles County, California",129643,18750
1400000US06037575901,"Census Tract 5759.01, Los Angeles County, California",51772,4052
1400000US06037407601,"Census Tract 4076.01, Los Angeles County, California",44000,8691
1400000US06037197410,"Census Tract 1974.10, Los Angeles County, California",102631,16306
1400000US06037550500,"Census Tract 5505, Los Angeles County, California",84315,26988
1400000US06001450501,"Census Tract 4505.01, Alameda County, California",132235,12541
1400000US06053010900,"Census Tract 109, Monterey County, California",78929,76343
1400000US06065030502,"Census Tract 305.02, Riverside County, California",36154,7464
1400000US06059099305,"Census Tract 993.05, Orange County, California",75085,16317
1400000US06013357000,"Census Tract 3570, Contra Costa County, California",88611,21522
1400000US06065031300,"Census Tract 313, Riverside County, California",52679,13601
1400000US06081601604,"Census Tract 6016.04, San Mateo County, California",98966,4671
1400000US06081601100,"Census Tract 6011, San Mateo County, California",107917,14489
1400000US06075030700,"Census Tract 307, San Francisco County, California",146618,15629
1400000US06095252202,"Census Tract 2522.02, Solano County, California",117534,12609
1400000US06065043821,"Census Tract 438.21, Riverside County, California",78750,15313
1400000US06111007402,"Census Tract 74.02, Ventura County, California",121957,24285
1400000US06037226410,"Census Tract 2264.10, Los Angeles County, California",36622,3352
